consumer_id,consumer_session_id,session_events,unique_articles,session_start,session_end,session_duration_minutes
-9223121837663643404,-4948752275720026686,1,1,2017-02-22 11:57:23+00:00,2017-02-22 11:57:23+00:00,0.0
-9223121837663643404,-45549974383056481,1,1,2017-02-17 16:12:27+00:00,2017-02-17 16:12:27+00:00,0.0
-9223121837663643404,3231048820128960721,3,3,2017-02-21 11:49:44+00:00,2017-02-21 11:57:34+00:00,7.833333333333333
-9223121837663643404,5827449707192665601,3,1,2017-01-13 10:15:03+00:00,2017-01-13 10:19:18+00:00,4.25
-9223121837663643404,8725776413049219564,2,2,2017-01-24 10:06:25+00:00,2017-01-24 10:06:27+00:00,0.03333333333333333
-9223121837663643404,-1621684601257470331,1,1,2016-10-03 12:17:30+00:00,2016-10-03 12:17:30+00:00,0.0
-9223121837663643404,-1914244695093100070,3,1,2016-06-20 11:08:28+00:00,2016-06-20 11:33:53+00:00,25.416666666666668
-9223121837663643404,-2765852964497429441,1,1,2016-08-05 17:24:49+00:00,2016-08-05 17:24:49+00:00,0.0
-9223121837663643404,-2774275024909061125,2,2,2016-05-24 11:09:42+00:00,2016-05-24 18:04:51+00:00,415.15
-9223121837663643404,-2851877786612265553,1,1,2016-08-02 11:45:19+00:00,2016-08-02 11:45:19+00:00,0.0
-9223121837663643404,-2896942439708376257,1,1,2016-10-06 11:36:22+00:00,2016-10-06 11:36:22+00:00,0.0
-9223121837663643404,-3663148383934726422,2,1,2016-06-16 13:34:49+00:00,2016-06-16 13:34:49+00:00,0.0
-9223121837663643404,-3673331845456357462,1,1,2016-05-05 12:42:07+00:00,2016-05-05 12:42:07+00:00,0.0
-9223121837663643404,-4096620279830729916,1,1,2016-11-10 16:38:12+00:00,2016-11-10 16:38:12+00:00,0.0
-9223121837663643404,-4482197405545551645,1,1,2016-05-13 11:19:58+00:00,2016-05-13 11:19:58+00:00,0.0
-9223121837663643404,-6084152871682607649,1,1,2016-11-17 09:56:18+00:00,2016-11-17 09:56:18+00:00,0.0
-9223121837663643404,-6087107963991136451,1,1,2016-05-12 12:21:24+00:00,2016-05-12 12:21:24+00:00,0.0
-9223121837663643404,-6194211872351562794,2,1,2016-06-27 12:16:36+00:00,2016-06-27 12:16:36+00:00,0.0
-9223121837663643404,-6503497614851251330,1,1,2016-12-06 11:48:34+00:00,2016-12-06 11:48:34+00:00,0.0
-9223121837663643404,-7208932310643919246,2,1,2016-09-19 11:08:24+00:00,2016-09-19 11:48:29+00:00,40.083333333333336
-9223121837663643404,-7824685088995468735,1,1,2016-05-19 11:11:54+00:00,2016-05-19 11:11:54+00:00,0.0
-9223121837663643404,-8865295409778928525,1,1,2016-11-16 10:08:45+00:00,2016-11-16 10:08:45+00:00,0.0
-9223121837663643404,-9034528865741269253,1,1,2016-07-26 13:14:28+00:00,2016-07-26 13:14:28+00:00,0.0
-9223121837663643404,1273100349510764853,2,1,2016-06-28 19:05:00+00:00,2016-06-28 19:05:01+00:00,0.016666666666666666
-9223121837663643404,1546794937482244700,2,1,2016-06-03 15:42:44+00:00,2016-06-03 15:42:44+00:00,0.0
-9223121837663643404,2411828781515959462,2,1,2016-11-09 10:26:06+00:00,2016-11-09 15:36:33+00:00,310.45
-9223121837663643404,2625340673871268120,1,1,2016-05-03 13:57:31+00:00,2016-05-03 13:57:31+00:00,0.0
-9223121837663643404,3537106955345995395,1,1,2016-09-15 11:25:07+00:00,2016-09-15 11:25:07+00:00,0.0
-9223121837663643404,3718281880049969488,1,1,2016-04-27 17:40:29+00:00,2016-04-27 17:40:29+00:00,0.0
-9223121837663643404,3764340814696745061,1,1,2016-07-28 11:51:42+00:00,2016-07-28 11:51:42+00:00,0.0
-9223121837663643404,5633153215593798101,2,1,2016-07-25 16:45:01+00:00,2016-07-25 16:45:04+00:00,0.05
-9223121837663643404,5782154530162935407,1,1,2016-08-01 11:07:21+00:00,2016-08-01 11:07:21+00:00,0.0
-9223121837663643404,6155883952366963340,1,1,2016-07-11 11:27:29+00:00,2016-07-11 11:27:29+00:00,0.0
-9223121837663643404,6207458156008176463,2,2,2016-04-22 10:59:45+00:00,2016-04-22 11:00:15+00:00,0.5
-9223121837663643404,7302745716492005770,2,2,2016-07-06 16:51:34+00:00,2016-07-06 16:51:37+00:00,0.05
-9223121837663643404,7554236980883791546,2,1,2016-06-07 11:28:43+00:00,2016-06-07 11:28:43+00:00,0.0
-9223121837663643404,8140248296117967371,2,2,2016-05-17 11:52:31+00:00,2016-05-17 12:00:17+00:00,7.766666666666667
-9223121837663643404,8344685852140796400,1,1,2016-09-30 12:47:42+00:00,2016-09-30 12:47:42+00:00,0.0
-9223121837663643404,8354661053050432780,2,2,2016-09-16 11:16:56+00:00,2016-09-16 11:18:07+00:00,1.1833333333333333
-9223121837663643404,844431470588928965,3,1,2016-11-11 10:29:44+00:00,2016-11-11 11:02:31+00:00,32.78333333333333
-9223121837663643404,8472866176465569622,1,1,2016-05-30 11:12:21+00:00,2016-05-30 11:12:21+00:00,0.0
-9212075797126931087,-459036301235257291,4,2,2016-06-27 19:23:20+00:00,2016-06-27 19:23:47+00:00,0.45
-9212075797126931087,-7558205496340288599,2,1,2016-07-05 11:45:34+00:00,2016-07-05 11:47:42+00:00,2.1333333333333333
